date,equity,cash,position_value,open_positions,gross_exposure
2025-06-19,117966.77522743776,117966.77522743776,0.0,0,0.0
2025-06-22,117966.77522743776,117966.77522743776,0.0,0,0.0
2025-06-23,117966.77522743776,117966.77522743776,0.0,0,0.0
2025-06-24,117966.77522743776,117966.77522743776,0.0,0,0.0
2025-06-25,117966.77522743776,117966.77522743776,0.0,0,0.0
2025-06-29,117966.77522743776,117966.77522743776,0.0,0,0.0
2025-06-30,117907.79183982404,94373.4201819502,23534.371657873835,1,0.19959979989995
2025-07-01,117944.37710327447,70772.74442341604,47171.632679858434,2,0.3999481267220904
2025-07-02,118264.88458624078,70772.74442341604,47492.14016282474,2,0.4015743162391763
2025-07-06,119913.11169770785,70772.74442341604,49140.36727429181,2,0.4097997840150381
2025-07-07,119971.74173355299,70772.74442341604,49198.997310136954,2,0.4100882141013151
2025-07-09,121689.70900256501,97065.34443959269,24624.364562972318,1,0.20235371392377377
2025-07-10,121818.69448501484,97065.34443959269,24753.350045422147,1,0.20319828701223772
2025-07-13,121308.6182426428,97065.34443959269,24243.273803050106,1,0.19984790985384443
2025-07-14,121326.20635878209,97065.34443959269,24260.8619191894,1,0.19996390431466993
2025-07-15,121337.93176954162,97065.34443959269,24272.58732994893,1,0.2000412152734736
2025-07-16,120544.4804996401,97065.34443959269,23479.13606004742,1,0.19477570406151876
2025-07-17,120737.95723229111,97065.34443959269,23672.61279269841,1,0.19606603702225983
2025-07-20,122358.75644462617,48085.109747753515,74273.64669687265,3,0.607015377199305
2025-07-21,122162.77389074306,48085.109747753515,74077.66414298955,3,0.6063849222124026
2025-07-22,122107.411233441,48085.109747753515,74022.30148568748,3,0.6062064598533994
2025-07-23,122107.411233441,48085.109747753515,74022.30148568748,3,0.6062064598533994
2025-07-27,121621.10207803428,72686.90138162463,48934.20069640965,2,0.4023495911508234
2025-07-28,121450.05831504667,72686.90138162463,48763.15693342204,2,0.4015078922969993
2025-07-29,121120.39959137104,95952.35004023842,25168.049551132608,1,0.20779364695000271
2025-07-30,120082.92739833497,71923.75026068164,48159.17713765333,2,0.4010493263368019
